Review,Rating,Sentiment,cleaned_review
Used yesterday and was faultless. I have used before in the past. Never had any issues,5,Positive,use yesterday faultless use past never issue
"I just wanted to book a ticket but there were just endless add ons for seat selection, insurance etc etc repeatedly.  Next time i would try to book with airline directly",3,Neutral,want book ticket endless add on seat selection insurance etc etc repeatedly next time would try book airline directly
"I contacted them to book seats as it is not possible to book seats when booking flights. (Why not?) I booked and paid for seats on the outbound flight, the payment went through, but the link in the confirmation email tells me there is no booking. I will have to spend time and effort sorting this out. And I have to book seats for the return flight in a further separate transaction. Not set up for customers. Awful.",1,Negative,contact book seat possible book seat book flight book pay seat outbound flight payment go link confirmation email tell book spend time effort sort book seat return flight separate transaction set customer awful
"I’m second time booking for this website, but ok. Best is pay pal pay. No charge and 4 months no interest",4,Positive,I m second time book website ok good pay pal pay charge month interest
No review text,5,Positive,review text
Took a very long time on the telephone. Making a small change to the christian name was extortionate,1,Negative,take long time telephone make small change christian name extortionate
Easy to use website,5,Positive,easy use website
Absolutely pathetic experience with GTG.stay away at all costs!!!!!Absolutely clueless and unwilling to help customer support team.,1,Negative,absolutely pathetic experience gtgstay away costsabsolutely clueless unwilling help customer support team
"I checked my flighttimes a few weeks after booking and discovered I accidentaly booked the return flight to another city then the departure flight. It would have been nice to get a 'warning' while I was booking, to prevent this. When I contacted Go to Gate about this, they could only inform me about te return flight that was non refundable, they told me I had to contact Tuifly myself about the departure flight. Tuifly told me that they could probably refund before six weeks, but that I had to contact Go to Gate about this. I tried this again, and informed them that the six weeks term would end within a week. They promissed me to respond in time, but did not do this. So I just have to cope with it myself.... and will not book any flights at Go to Gate in the future again... In the response under this review, they ask me for a booking number....like I have not provided accurate data in time...I have done that several times with no response from them....so bit to late to ask for it now..",1,Negative,check flighttime week book discover accidentaly book return flight another city departure flight would nice get warn booking prevent contact go gate could inform te return flight non refundable tell contact tuifly departure flight tuifly tell could probably refund six week contact go gate try inform six week term would end within week promisse respond time cope book flight go gate future response review ask book numberlike provide accurate datum timei do several time response themso bit late ask
This is my first trip with fly,5,Positive,first trip fly
"Please avoid this company at all costs!I raised a query to challenge additional charges I paid in thailand for my baggage even when baggage was already included as part of my booking with booking.com (in partnership with go to gate). Its been two months and since than all they have done is spammed by mailbox with 20 emails stating same thing - “”First, please accept our apologies for the delay in replying to you. We are currently experiencing a high volume of emails from our customers, which unfortunately results in longer response times than usual.We understand your concern and apologize for any inconvenience caused. We are awaiting the investigation results, as it takes a lot of back and forth with different departments, due to which it has been delayed.  However, rest assured we have already escalated the issue to our relevant team to investigate the case. Kindly wait for our next update. We will get back to you as soon as possible“They are literally useless and will do nothing to do any work and they probably getting paid for spamming customers mailbox without actually taking any action!",1,Negative,please avoid company costsi raise query challenge additional charge pay thailand baggage even baggage already include part book bookingcom partnership go gate two month since do spamme mailbox email state thing first please accept apology delay reply currently experience high volume email customer unfortunately result long response times usualwe understand concern apologize inconvenience cause await investigation result take lot back forth different department due delay however rest assure already escalate issue relevant team investigate case kindly wait next update get back soon possiblethey literally useless nothing work probably getting pay spamme customer mailbox without actually take action
The airline canceled the last part of my connecting flight and was happy to give me alternative option. These guys said they just can partially refund the last section of my trip and I have to buy another ticket to complete my flight. When I agreed they cancelled the whole flight leaving me in dark. I contacted them and they sent me robotic emails. Finally explained my situation to the airline and they helped me to fix the issue. Do not buy any tickets from them!!!!!,1,Negative,airline cancel last part connect flight happy give alternative option guy say partially refund last section trip buy another ticket complete flight agree cancel whole flight leave dark contact send robotic email finally explain situation airline help fix issue buy ticket
Usually have good experiences from Gotogate but this time it is really bad. An airline cancelled my flight so I opted for a refund. It has now been well over a month and all I get is generic emails saying it’s “with the concerned team”. I am worried I will never get my refund.,1,Negative,usually good experience gotogate time really bad airline cancel flight opt refund well month get generic email say concerned team worry never get refund
Very good for booking,5,Positive,good booking
It was simple process to book the ticket for the flight,5,Positive,simple process book ticket flight
"They haven't informed us about a change of flight. We arrived at the airport and the flight already departed. When we check online the time is still wrong in their website. They are not helping us, they say to contact the airline . The last itinerary they sent it has the wrong time. We are waiting at the airport for a response, I'm  pregnant, they are doing nothing to fix their mistake",1,Negative,have not inform we change flight arrive airport flight already depart check online time still wrong website help we say contact airline last itinerary send wrong time wait airport response I m pregnant nothing fix mistake
"They haven't informed us about a change of flight. We arrived at the airport and the flight already departed. When we check online the time is still wrong in their website. They are not helping us, they say to contact the airline . The last itinerary they sent it has the wrong time. We are waiting at the airport for a response, my partner is pregnant, they aren doing anything to fix their mistake",1,Negative,have not inform we change flight arrive airport flight already depart check online time still wrong website help we say contact airline last itinerary send wrong time wait airport response partner pregnant anything fix mistake
"Go Gate didn’t sent my baggage request to the airline, so I had to pay twice for baggage and now they refuse to refund me. I lost $90 USD for luggage I had already paid for.Would now recommend this company",1,Negative,go gate do not send baggage request airline pay twice baggage refuse refund lose usd luggage already pay forwould recommend company
"Horrible, agent cancelled my flight without me requesting it, then assured me it is valid and the system is doing some sort of “check”. Then I arrive at the airport, and have to buy a new ticket at the spot, because my booking is indeed cancelled. Gotogate doesn’t want to admit their mistake and won’t compensate for the additional expense.",1,Negative,horrible agent cancel flight without request assured valid system sort check arrive airport buy new ticket spot booking indeed cancel gotogate do not want admit mistake will not compensate additional expense
"Airlines rescheduled the flights, for which I opted for cancellation, with terms of full refund. Its been over a month, I am still waiting for my refund - all I hear from them is we are working on your case - the airline is not responding'. Ridiculous!God knows how long will the refund take to hit my account.PLEASE CAN YOU PROCESS THE REFUND ASAPPTerrible company.",1,Negative,airline reschedule flight opt cancellation term full refund month still wait refund hear working case airline respond ridiculousgod know long refund take hit accountplease process refund asappterrible company
"Scammer company, my flight was cancelled but they are refusing to give me my refund, I have been waiting for months and their story changes with every call. Never book, you will not see your money back",1,Negative,scammer company flight cancel refuse give refund waiting month story change every call never book see money back
Reasonable,5,Positive,reasonable
"Prices as quoted, very easy booking process. Have used GtG before and would recommend.",5,Positive,price quote easy booking process use gtg would recommend
No review text,5,Positive,review text
No review text,5,Positive,review text
"I am extremely disappointed.  I booked flight tickets including extra cabin baggage, but the next day Gotogate informed me that due to a technical issue, the baggage wasn't added and requested that I add it through the airline, promising a refund.  Two months later, I still haven't received the refund.  When I called, they repeatedly stated they are processing it but couldn't provide a timeframe or further details.If that review will not speed it up I'm will contact my bank and start chargeback procedure.Update : I provided my name which should be enough. Please contact me here or through email connected to passengers names",1,Negative,extremely disappointed book flight ticket include extra cabin baggage next day gotogate inform due technical issue baggage be not add request add airline promise refund two month later still have not receive refund call repeatedly state processing could not provide timeframe detailsif review speed I m contact bank start chargeback procedureupdate provide name enough please contact email connect passenger name
"Save Yourself the Stress—Do Not Book with Go to GatePlease save yourself the headache and avoid booking with Go to Gate. This has been the most outrageous booking experience I’ve ever had. If you need to rebook or change a flight, don’t expect any help from their customer service. They are completely unhelpful, indifferent, and outright dismissive.The customer service team is shockingly poor—lacking integrity, competence, and basic knowledge. My experience with Go to Gate was traumatic, to say the least. It felt like dealing with scammers rather than a legitimate travel agency.To the CEO, leaders, and anyone managing this agency: shame on you for how you run this business. This is not how customers should be treated. It’s our hard-earned money, and the lack of compassion is appalling. Karma is real, and I’ll leave it at that.",1,Negative,save stressdo book go gateplease save headache avoid book go gate outrageous booking experience I ve ever need rebook change flight do not expect help customer service completely unhelpful indifferent outright dismissivethe customer service team shockingly poorlacke integrity competence basic knowledge experience go gate traumatic say least feel like deal scammer rather legitimate travel agencyto ceo leader anyone manage agency shame run business customer treat hardearne money lack compassion appal karma real ill leave
"The whole experience was user-friendly, transparent and informative.",5,Positive,whole experience userfriendly transparent informative
"I want to report a baggage scam by Gotogate in partnership with Booking.com.Shortly after booking my flight tickets to Shanghai, I received an email stating that Gotogate has failed to secure a check-in baggage for me due to a ""technical error"". I am forced to contact the airlines and buy the baggage at a very ridiculously exorbitant price. I end up paying 25% extra of the cost of my flight tickets just for a baggage. I think this is a scam by Gotogate. Basically they make people buy basic flight tickets with the false impression that it has checked-in baggage. They will later send an email saying how a ""system error"" has forced them to refund your baggage only. This will then force you to pay an incredibly high price just for a bag separate from tickets. Just don't buy any flight tickets from Gotogate. Pretty risky.",1,Negative,want report baggage scam gotogate partnership bookingcomshortly book flight ticket shanghai receive email state gotogate fail secure checkin baggage due technical error force contact airline buy baggage ridiculously exorbitant price end pay extra cost flight ticket baggage think scam gotogate basically make people buy basic flight ticket false impression checkedin baggage later send email say system error force refund baggage force pay incredibly high price bag separate ticket do not buy flight ticket gotogate pretty risky
"Found trip DUS-PIM via Skyscanner.Booked via Gotogate, payed by Ideal. Received mail: booking flight will be processed. After 10 hours received mail could not confirm booking request Condor), payment could not be confirmed (was already payed to Gotogate). Money back: creditcard 24hr and Ideal between 5-7 workingdays!! Called with Gotogate customerservice (number on website) and they convinced that money would be refunded in about 7d (depending bank of airline) but new booking needed to be done. (Not again by Gotogate for sure!).Booked same flights directly with Condor next day with creditcard for same price (still available, still don't know Gotogate booking problem).Glad that Gotogate refunded money in about 20 hours after cancel mail.That is only positive part.",1,Negative,find trip duspim via skyscannerbooke via gotogate pay ideal receive mail booking flight process hour receive mail could confirm book request condor payment could confirm already pay gotogate money back creditcard hr ideal workingday call gotogate customerservice number website convince money would refund depend bank airline new booking need do gotogate surebooke flight directly condor next day creditcard price still available still do not know gotogate booking problemglad gotogate refunded money hour cancel mailthat positive part
"I am reposting my review because gotogate ""commented"" or rather dismissed my first review because I did not include the optional booking code, insinuating perhaps that my review was not real. So, here is my updated review, with the booking code provided.I booked tickets for my family this morning and quickly realised I needed to change them. Within 30 minutes – before the airline had even issued the tickets – I called to cancel. The gotogate link to my booking still showed “booking reference not yet available.” Despite this, I was told by a cold and unyielding customer service agent that cancelling would cost me $180.I tried to reason with her, explaining the timing and the fact that no tickets had been issued yet. Her response? “I have to follow our policies.” There was no flexibility, no understanding – just rigid adherence to policies clearly designed to extract money from customers.To make matters worse, the airline itself offers free cancellations and changes within 24 hours of booking. Yet this website imposed fees for a service the airline provides for free.This company’s dismissal of my first review is yet another example of their lack of accountability and poor customer service. Despite providing detailed information (date, phone call, cancellation, and fee), they chose to brush it off with a “receipts or it didn’t happen” approach.This was my first and last time using this site. If you value fair treatment and reasonable policies, I suggest you look elsewhere. Avoid this company and their “go to hell” policies.",1,Negative,reposte review gotogate comment rather dismiss first review include optional booking code insinuating perhaps review real update review book code providedi book ticket family morning quickly realise need change within minute airline even issue ticket call cancel gotogate link booking still show booking reference yet available despite tell cold unyielde customer service agent cancelling would cost try reason explain timing fact ticket issue yet response follow policy flexibility understand rigid adherence policy clearly design extract money customersto make matter bad airline offer free cancellation change within hour booking yet website impose fee service airline provide freethis company dismissal first review yet another example lack accountability poor customer service despite provide detailed information date phone call cancellation fee choose brush receipt do not happen approachthis first last time use site value fair treatment reasonable policy suggest look elsewhere avoid company go hell policy
"I’m struggling to get my refund back! Gotogate promised I would get it within 15 working days… it’s been more than 30. Although I have a confirmation letter from the airline that they have paid over my refund to to Gotogate.. I’m being told I have to wait patiently for the airline to pay the refund over. There is no way to communicate with Gotogate except through the chatbox which is not helpful in my situation AT ALL. Where is my refund???? I would like to present Gotogate with proof of payment from Ethiopian Airlines, but there is way to send an email.. they all bounce back! Very frustrating and worrying.Please respond with an email to me!!!!",1,Negative,I m struggle get refund back gotogate promise would get within working day although confirmation letter airline pay refund gotogate I m tell wait patiently airline pay refund way communicate gotogate except chatbox helpful situation refund would like present gotogate proof payment ethiopian airline way send email bounce back frustrating worryingplease respond email
"I booked my flight with Gotogate, initially the process and service was good until I tried get my middle initials added to my booking they asked for £125.00 admin fee almost 1/3 of the tickect price? It was done by the airline free of charge. Now I am trying to contact them from outside the UK their website and other system has no links or contact for help apart from UK landline. If you click on contact us nothing comes up, you get a prompt to contact airline directly, but airline will not entertain you if the booking was made through travel agent? I tried to use their WhatsApp channel too but apparently they no longer use this channel however they have an option to  contact them via WhatsApp??? Furthermore my outgoing flight and PNR was  changed by the airline and this company had no clue just before my trip I received an email with old flight details if I had followed them I would've missed my flight. I sent emails with my request but to date I have had no reply. Now I've sent an email to the airline hoping that my issue will be sorted. I would definitely not recommend this company to anyone buying travel tickets please pay little bit extra and book directly with the airlines.",1,Negative,book flight gotogate initially process service good try get middle initial add booking ask admin fee almost tickect price do airline free charge try contact outside uk website system link contact help apart uk landline click contact we nothing come get prompt contact airline directly airline entertain booking make travel agent try use whatsapp channel apparently long use channel however option contact via whatsapp furthermore outgoing flight pnr change airline company clue trip receive email old flight detail follow would ve miss flight send email request date reply I ve send email airline hope issue sort would definitely recommend company anyone buy travel ticket please pay little bit extra book directly airline
"Please please stay away from this company, they are not  Atol protected They advertise low flights , take the money , then say the flight is cancelled , The flight was not cancelled just over booked , so they withdrew passengers and offered no refund ..Its so so hard getting money back from these people as they are Atol protected My credit card company are involved but even they are struggling ..You eventually get a offer of some refund ...it just never arrives Booking.com should not be pushing this company ..You have been warned !! STAY WELL CLEAR",1,Negative,please please stay away company atol protect advertise low flight take money say flight cancel flight cancel book withdraw passenger offer refund hard get money back people atol protect credit card company involve even struggle eventually get offer refund never arrive bookingcom push company warn stay well clear
"Never ever think of booking a plane ticket with GoToGate as they have the most useless customer support. After having mistyped one letter while booking a ticket, it's now been ten days that we have literally spent hours on the phone with them and the air company but GoToGate are unwilling to help us. We contacted them within minutes after having booked the tickets and at first, we paid the extra 50 euro fee to make the change. However, they refunded the money saying they cannot make the change as Luxair, the air company, doesn't allow them to do so. When calling Luxair, they weren't able to make the change either as the ticket was bought through GoToGate. Luxair wrote a note on their internal program clearly stating that the name should be changed and told they should be contacted again bt GTG. No matter how many time we called GTG afterwards, we always have the same answer ""we cannot make the change as Luxair doesn't allow us"". For god sake, how on earth isn't possible to delete a single letter on a booked ticket! Who has access to the system?Luxair cannot do it since we were stupid enough to buy a ticket on GTG, which now tells us to cancel the ticket and buy a new one. But we have two kids attached to the ticket, which means we are losing three tickets due to their incompetency. We have already spent over a hundred euros by calling helplines and the only solution is to cancel three tickets. Really, shame on you! You're a total disgrace to the travel industry.",1,Negative,never ever think book plane ticket gotogate useless customer support mistype one letter book ticket ten day literally spend hour phone air company gotogate unwilling help we contact within minute book ticket first pay extra euro fee make change however refunded money say make change luxair air company do not allow calling luxair be not able make change either ticket buy gotogate luxair write note internal program clearly state name change tell contact bt gtg matter many time call gtg afterwards always answer make change luxair do not allow we god sake earth be not possible delete single letter book ticket access systemluxair since stupid enough buy ticket gtg tell we cancel ticket buy new one two kid attach ticket mean lose three ticket due incompetency already spend hundred euro call helpline solution cancel three ticket really shame you re total disgrace travel industry
"My girlfriend booked a flight but had to cancel it just 2 minutes later due to a typo in the name and immediately rebooked it. She made this decision after consulting with customer service. This happened a year ago, and since then, she has never received the refund for the canceled flight, which amounts to $600. Although the airline refunded the money to Gotogate promptly, the company has been holding onto it ever since!1006-001-106",1,Negative,girlfriend book flight cancel minute later due typo name immediately rebooke make decision consulting customer service happen year ago since never receive refund cancel flight amount although airline refund money gotogate promptly company hold onto ever since
"Booked a flight, had to cancel it 2min afterwards due to a typo in the name and booked it again. I did this after disussing with the customer Service. This was 1 year ago. Since then I never got back the money for the canceled flight from them. (600 usd) the airline paid the money to them immediately but gotogate holds back the money!!!!",1,Negative,book flight cancel min afterwards due typo name book disusse customer service year ago since never get back money cancel flight usd airline pay money immediately gotogate hold back money
"This broker is 1 of the worst i have even met in 35 years of travel. If your trip goes up to plan then, it's fine but as soon as you have changes or cancellation your dead... their customer support does not exist. There some negative star rating would exist, then they would deserve them.I had to stop my trip early for health reason and I was entitled to a refund legally due to airline flight change. I spent about 24h with support and like 15 different operator and they where not able to get a simple refund that I called the airline and got the job done in 5min. I have never came across such incompetence in all my life. Their chat support cuts all the time, you get mislead, they never call back, give you contradicting information. Would never use them again. I will probably never see any kind of refund. Totally hopeless, they haven't been even able to tell me how much was the fare price per leg...",1,Negative,broker worst even meet year travel trip go plan fine soon change cancellation dead customer support exist negative star rating would exist would deserve themi stop trip early health reason entitle refund legally due airline flight change spend h support like different operator able get simple refund call airline get job do min never come across incompetence life chat support cut time get mislead never call back give contradict information would never use probably never see kind refund totally hopeless have not even able tell much fare price per leg
"Everything OK...............  at least til now.  When comes closer the day we leave, we hope that it still is OK............",5,Positive,everything ok least til come close day leave hope still ok
No review text,5,Positive,review text
Very easy and helpful Surely I will book with you again for my next trip,5,Positive,easy helpful surely book next trip
"Excellent experience, having had before as well with gotogate and really smooth. Thank you",5,Positive,excellent experience well gotogate really smooth thank
"Booking experience is good IF you are able to book at the advertised fare. Gotogate is part of a group that uses multiple branding but the give away is that their websites are all in the same layout. Also, the lowest fares they advertised via travel comparison websites - more often than not is not available. You may see that the lowest fare is available when you arrived at the website, but when you tried to make card payment - this is when you will see a notice telling the price has just increased by £200 ""due to high demand"". But the next day, the same lowest fare will again be ""available"". Also note that prices from gotogate and its associated brands suddenly becomes higher during weekends and evenings of weekdays ...go figure.",3,Neutral,book experience good able book advertise fare gotogate part group use multiple branding give away website layout also low fare advertise via travel comparison website often available may see low fare available arrive website try make card payment see notice tell price increase due high demand next day low fare available also note price gotogate associate brand suddenly become high weekend evening weekday go figure
Great place to book a flight. This site is easy to use and a straightforward experience. Thank you,4,Positive,great place book flight site easy use straightforward experience thank
Very cheap flight,5,Positive,cheap flight
"Currency of prices should be better seen, so no surprises. English pound instead of Euro is a big difference",2,Negative,currency price well see surprise english pound instead euro big difference
It's easy and convenient,5,Positive,easy convenient
"Very bad site I have a problem in my booking and I can’t reach them. They don’t allow you to send e mail and just post international uk number you will never ever can catch it , I hope they contact me Becouse the problem still valid",1,Negative,bad site problem booking can not reach do not allow send e mail post international uk number never ever catch hope contact becouse problem still valid
"I have booked and payed for a flight and have not received my booking confirmation, have tried to contact you but nothing seems to work...",2,Negative,book pay flight receive booking confirmation try contact nothing seem work
Very easy to use lots of options booking process very easy.,5,Positive,easy use lot option booking process easy
"Long story short, I booked flights throught booking.com affiliated with Go To Gate. They cancelled my flights due to airline cancellations and said they would issue me a reduns within 7-14 days. After many email with go to gate and 13month later I'm still waiting on a $1600 refund.",1,Negative,long story short book flight throught bookingcom affiliate go gate cancel flight due airline cancellation say would issue redun within day many email go gate month later I m still wait refund
Rien à signaler,5,Positive,rien signaler
"Terrible customer service. We had our flight cancelled and are seeking a refund. We had to take the bus the next day with three young kids for 6 hours. Now GOTOGATE are claiming that the flight wasn't cancelled and that we were on it.Dont use, its worth it just to pay a little extra from the airline or any other ticket seller",1,Negative,terrible customer service flight cancel seek refund take bus next day three young kid hour gotogate claim flight be not cancel itdont use worth pay little extra airline ticket seller
Getting flight ticket was easy more than my expectation with best prices. Thank you.,5,Positive,get flight ticket easy expectation good price thank
They are running a scam. They canceled my flights 3 days before departure and still waiting for a refund for the last 6 months.Avoid them at any cost.,1,Negative,run scam cancel flight day departure still wait refund last monthsavoid cost
"Never trust this company. They appear reliable until you make a payment, but afterward, their behavior is similar to that of scammers. Their customer service is based in India, and the representatives are extremely rude and dismissive of client concerns. They withdrew money from my account, and after that, no one responded to my inquiries. I asked many time to speak with one of their supervisors but no respond and every time they said that the supervisor will contacting, but never happened.",1,Negative,never trust company appear reliable make payment afterward behavior similar scammer customer service base india representative extremely rude dismissive client concern withdraw money account one respond inquiry ask many time speak one supervisor respond every time say supervisor contact never happen
"Have booked a flight today, all seemed pretty straightforward, no hassle, first time with this company and very happy so far",4,Positive,book flight today seem pretty straightforward hassle first time company happy far
"Da jeg behøver en rullestol til og fra flyet , var der ikke et sted jeg kunne finde den bestilling .",4,Positive,da jeg behver en rullestol til og fra flyet var der ikke et sted jeg kunne finde den bestille
Very easy and simple process without any fuss!,5,Positive,easy simple process without fuss
Worst call center everI was going transit through IST and I missed my first flight and thus the next flight will be missed and I called them and asked them to do so and they told me that they will do but They never did and that's how I lost my refund money. They are not professional at all and very rude personal.,1,Negative,bad call center everi going transit ist miss first flight thus next flight miss call ask tell never that s lose refund money professional rude personal
Most horrible people and worst website to book flights.Booking reference: 1011871083These people made my elderly parents life miserable while travelling back. They have changed the ticket with longer layoff time of 6.5 hrs for a connecting flight in india. I have kept on requesting them for more than 2 weeks to change the ticket. You guys have dragged till the day of travel and telling me to contact the airlines for change of ticket. Shame on you guys. You reply back stating you cant locate the booking. Are you not ashamed of yourself in writing that you cant locate the booking. check with the order number you will get the total history.,1,Negative,horrible people bad website book flightsbooking reference people make elderly parent life miserable travel back change ticket long layoff time hrs connect flight india keep request week change ticket guy drag till day travel tell contact airline change ticket shame guy reply back state can not locate book ashamed writing can not locate booking check order number get total history
"I've bought round trip tickets for 2 persons. İstanbul to Tokyo.I've paid 59.465 Turkish Liras, so I've thought. But then I saw 62.407 TL was taken from my card.Using GoGate tricked me into paying more or less 2942 Turkish Liras or 83$ American dollars more. I've never experienced it with other providers. If they charge in Turkish liras then it's Turkish liras.I'm quite disappointed with my experience, will never use them again.",1,Negative,I ve buy round trip ticket person istanbul tokyoive pay turkish liras I ve think see tl take carduse gogate trick pay less turkish liras american dollars I ve never experience provider charge turkish liras turkish lirasim quite disappointed experience never use
Easy to access.,5,Positive,easy access
"waiting for a flight refund due to medical issues for over a month now, last update on 07/12/2024, go to gate keep telling me they are awaiting the flight company to reply the request, but it's the same excuse over and over again, I've been following up basically weekly and nothing changes, DON'T RECOMMEND AT ALL, DON'T USE THEIR SERVICES.",1,Negative,wait flight refund due medical issue month last update go gate keep tell await flight company reply request excuse I ve follow basically weekly nothing change do not recommend do not use service
No review text,5,Positive,review text
"Stay away, book with a more responsible company or directly with the airline. Another online travel agency who is not customer friendly, charges fees not permitted by international rules and hides behind anonymity when you request to speak to a supervisor. We booked a ticket for my wife and daughter. There was a simple mistake in the name of one of the tickets. We called immediately and were told we would be charged 450 SEK to change the name or else could cancel. This was less than one hour after booking and by regulation you should be able to cancel for free within 24hours for international flights. We were then told that if we cancelled we would be charged 900 SEK. We spoke with a representative named Johannes who refused to identify their team leader (who they spoke to who refused to waive these fees or to change the name as a courtesy). They eventually offered the name 'Alexandra' for the coordinator who they are responsible to.",1,Negative,stay away book responsible company directly airline another online travel agency customer friendly charge fee permit international rule hide behind anonymity request speak supervisor book ticket wife daughter simple mistake name one ticket call immediately tell would charge sek change name else could cancel less one hour booking regulation able cancel free within hour international flight tell cancel would charge sek speak representative name johanne refuse identify team leader speak refuse waive fee change name courtesy eventually offer name alexandra coordinator responsible
"I purchased a ticket through Gotogate, and somehow—whether it was their mistake or the website’s glitch—‘Ms.’ was mistakenly entered instead of ‘Mr.’. I called their customer service, and instead of fixing it, they asked me to send my passport details, promising they’d make the update. I complied, thinking it would finally be resolved.Instead, they came back with a ridiculous response, saying I should check with the airline, as most airlines don’t care about titles. They essentially closed my ticket without making any real effort to fix it.Frustrated, I contacted the airline directly, but it took days for them to respond. When I finally got through, they told me titles are important, and that I’d need to go back to Gotogate to make the change.So, I called Gotogate again. A very annoyed customer service agent picked up, kept me on hold for ages, and finally came back to tell me I’d have to pay 110 AUD just to change the title. That includes both the airline’s fees and their service charge.My round-trip ticket from Nepal to Perth with a layover in Malaysia cost me 1500 AUD. Now they’re charging me over 110 AUD just to correct a simple mistake?I asked to escalate to a manager. Instead, they told me I’d have to wait for the manager to call me back—no timeframe given. It seems like they don’t even have the courtesy to transfer my call to someone who can actually help.This is such a ripoff. I paid 220 AUD for a ‘flexible ticket add-on,’ which I didn’t even realize had been added—money wasted on something that doesn’t seem to do anything at all other than empty my account.On top of that, they charge 110 AUD just to change my title. And I can’t even fix this directly with the airline because Gotogate has some shady contract with them, forcing me to pay this ridiculous fee just to get their commission.It’s clear—Gotogate is not here to help customers; they’re just here to rip people off. Absolutely infuriating.",1,Negative,purchase ticket gotogate somehowwhether mistake website glitchm mistakenly enter instead mr call customer service instead fix ask send passport detail promise they d make update comply thinking would finally resolvedinstead come back ridiculous response say check airline airline do not care title essentially closed ticket without make real effort fix itfrustrate contact airline directly take day respond finally get tell title important i d need go back gotogate make changeso call gotogate annoyed customer service agent pick keep hold age finally come back tell I d pay aud change title include airline fee service chargemy roundtrip ticket nepal perth layover malaysia cost aud they re charge aud correct simple mistakei ask escalate manager instead tell i d wait manager call backno timeframe give seem like do not even courtesy transfer call someone actually helpthis ripoff pay aud flexible ticket addon do not even realize addedmoney waste something do not seem anything empty accounton top charge aud change title can not even fix directly airline gotogate shady contract forcing pay ridiculous fee get commissionit cleargotogate help customer they re rip people absolutely infuriate
A lot of my time booking my flight in different flight apps but here are awesome cheapest,5,Positive,lot time book flight different flight app awesome cheap
Nice service,5,Positive,nice service
Every went very smoothly,5,Positive,every go smoothly
"You are a big scammer, i had purchased tickets for $1061.46 US TO AN EXCHANGE AMOUNT OF $1600.28 CAD, including $39.98 cancellation insurance, but in fact you charged me in USD FUNDS TO A BALANCE OF $2392.00 CAD, once i got the reservations by email i noticed the weong charges, i called and explained and provided proof, you acknowledged that you made a mistake and agreed to refund me $1525.00, less the $40 insurance and a penalty of $35,  you have sent me an email and i replied to it to confirm the cancellation but in fact you are denying all this a you claimed that i chat it with and you never send me an email and still refusing to cancel my trip with the full full balance or at least less the cancellation fee, claiming that i never contacted and cancelled before 12 midnight the same day, i have all the phone record when i called and the email sent to me at 6;46 pm and i replied after two minutes. You have denied all this and still not refunding me my miney",1,Negative,big scammer purchase ticket we exchange amount cad include cancellation insurance fact charge usd fund balance cad get reservation email notice weong charge call explain provide proof acknowledge make mistake agree refund less insurance penalty send email reply confirm cancellation fact deny claim chat never send email still refuse cancel trip full full balance least less cancellation fee claiming never contact cancel midnight day phone record call email send pm reply two minute deny still refund miney
"Experience great, good services",5,Positive,experience great good service
No review text,5,Positive,review text
No review text,5,Positive,review text
Easy to understand with lots of options to accommodate everyone's travel needs.,5,Positive,easy understand lot option accommodate everyone travel need
Easy to use and very competitive pricing.,5,Positive,easy use competitive pricing
No review text,4,Positive,review text
"BOOKING : 1022-384-904! If I could only give 0 stars I would . An absolute disgrace of a company. Made our lives hell when i accidentally put a wrong letter in my sons name upon booking. Made us wait weeks and weeks and charging us ridiculous name change fees , lying to us blaming Emirates when emirates were not at fault . They then advised us to take a risk and travel on an incorrect name and risk leaving our 7 year old son at the airport ?! Unbelievable! This company should be shut down for its lies and conduct.The way they treat customers is appalling. Disgrace to the travel industry.",1,Negative,booking could give star would absolute disgrace company make life hell accidentally put wrong letter son name upon booking make we wait week week charge we ridiculous name change fee lie we blame emirate emirate fault advise we take risk travel incorrect name risk leave year old son airport unbelievable company shut lie conductthe way treat customer appal disgrace travel industry
No review text,4,Positive,review text
"I'm not even sure the team at go to gate even read claims before they reject them. Go to gate rejected my claim by providing information...that actually supported my claim Absolutely useless and very very slow to respond. As a warning go to gate are linked to booking.com who are equally poor at customer service and con people out of thousands of pounds by simply failing to respond to issues made . Go to gate seem to adopt the same response when an issue gets tricky. Update: I am so pleased with the response from go to gate below as it evidences that they are not reading their complaints on any platforms. My reference number does not relate to lodgings ...but flights. And there is no way I will be trusting this company with my money ever again as of something goes wrong , customer service action is not far short of negligent. Need I say more .",1,Negative,I m even sure team go gate even read claim reject go gate reject claim provide informationthat actually support claim absolutely useless slow respond warning go gate link bookingcom equally poor customer service con people thousand pound simply fail respond issue make go gate seem adopt response issue get tricky update pleased response go gate evidence read complaint platform reference number relate lodging flight way trust company money ever something go wrong customer service action far short negligent need say
I love gotogate wonderful experience,5,Positive,love gotogate wonderful experience
Easy to use website and booking system. GoToGate offered the best flights price (via Skyscanner.net) with easy and clear customisable baggage options. We’ve booked via GoToGate previously and I’m sure we’ll book via them again. Their app is also very handy and easy to navigate too.,5,Positive,easy use website booking system gotogate offer good flight price via skyscannernet easy clear customisable baggage option we ve book via gotogate previously I m sure well book via app also handy easy navigate
